Fréquence (Hz)	Niveau (dB)
4371,093750	-78,793488
4382,812500	-78,608070
4394,531250	-78,685799
4406,250000	-78,947792
4417,968750	-79,006004
4429,687500	-79,082298
4441,406250	-79,303085
4453,125000	-79,497307
4464,843750	-78,751213
4476,562500	-78,780342
4488,281250	-79,242142
4500,000000	-78,820511
4511,718750	-78,836044
4523,437500	-79,494568
4535,156250	-79,525261
4546,875000	-79,454796
4558,593750	-79,192360
4570,312500	-79,622055
4582,031250	-80,081429
4593,750000	-79,917068
4605,468750	-79,999947
4617,187500	-80,609756
4628,906250	-80,166962
4640,625000	-80,070175
4652,343750	-79,838470
4664,062500	-80,255051
4675,781250	-80,871399
4687,500000	-80,812363
4699,218750	-81,121292
4710,937500	-81,223915
4722,656250	-81,192726
4734,375000	-81,150551
4746,093750	-81,479301
4757,812500	-81,332985
4769,531250	-81,224953
4781,250000	-80,750137
4792,968750	-80,714546
4804,687500	-80,836327
4816,406250	-81,030128
4828,125000	-80,897873
4839,843750	-81,291702
4851,562500	-81,586388
4863,281250	-81,584518
4875,000000	-81,936325
4886,718750	-82,037727
4898,437500	-82,369789
4910,156250	-82,331543
4921,875000	-82,240166
4933,593750	-82,752258
4945,312500	-83,070946
4957,031250	-82,440643
4968,750000	-82,422195
4980,468750	-83,179871
4992,187500	-82,857773
5003,906250	-82,648308
5015,625000	-81,967293
5027,343750	-82,696236
5039,062500	-82,919373
5050,781250	-82,629036
5062,500000	-82,984100
5074,218750	-83,040016
5085,937500	-82,815086
5097,656250	-82,508820
5109,375000	-82,479645
5121,093750	-83,243385
5132,812500	-83,570557
5144,531250	-83,819443
5156,250000	-83,396507
5167,968750	-83,339058
5179,687500	-83,180008
5191,406250	-82,525909
5203,125000	-81,744415
5214,843750	-81,564362
5226,562500	-81,858391
5238,281250	-82,026596
5250,000000	-83,097916
5261,718750	-84,086998
5273,437500	-83,966690
5285,156250	-83,500168
5296,875000	-83,100586
5308,593750	-83,846703
5320,312500	-84,350281
5332,031250	-84,478416
5343,750000	-84,356674
5355,468750	-83,765678
5367,187500	-83,505699
5378,906250	-83,538010
5390,625000	-83,656952
5402,343750	-83,501472
5414,062500	-83,341049
5425,781250	-83,812569
5437,500000	-84,283546
5449,218750	-84,280640
5460,937500	-83,759857
5472,656250	-84,004478
5484,375000	-83,919167
5496,093750	-83,744888
5507,812500	-83,629623
5519,531250	-83,764771
5531,250000	-83,664909
5542,968750	-83,768776
5554,687500	-83,319641
5566,406250	-82,942474
5578,125000	-83,286026
5589,843750	-82,853531
5601,562500	-82,359604
5613,281250	-81,898209
5625,000000	-81,975143
5636,718750	-83,117752
5648,437500	-83,286972
5660,156250	-83,393379
5671,875000	-83,969597
5683,593750	-83,620842
5695,312500	-83,825142
5707,031250	-84,149162
5718,750000	-84,058769
5730,468750	-84,212494
5742,187500	-83,748466
5753,906250	-83,766830
5765,625000	-83,735725
5777,343750	-84,625229
5789,062500	-85,265556
5800,781250	-85,048859
5812,500000	-85,088936
