Fréquence (Hz)	Niveau (dB)
18130,957031	-99,837631
18174,023438	-99,826180
18217,089844	-99,842659
18260,156250	-99,850143
18303,222656	-99,860306
18346,289062	-99,863968
18389,355469	-99,874146
18432,421875	-99,880890
18475,488281	-99,892532
18518,554688	-99,887009
18561,621094	-99,904289
18604,687500	-99,914413
18647,753906	-99,917358
18690,820312	-99,926399
18733,886719	-99,931328
18776,953125	-99,938835
18820,019531	-99,945114
18863,085938	-99,952011
18906,152344	-99,959114
18949,218750	-99,964874
18992,285156	-99,971863
19035,351562	-99,980125
19078,417969	-99,979980
19121,484375	-99,990051
19164,550781	-99,996109
19207,617188	-100,001648
19250,683594	-100,004890
19293,750000	-100,014160
19336,816406	-100,015701
19379,882812	-100,028061
19422,949219	-100,030235
19466,015625	-100,032104
19509,082031	-100,045113
19552,148438	-100,042877
19595,214844	-100,052948
19638,281250	-100,055786
19681,347656	-100,060516
19724,414062	-100,066177
19767,480469	-100,068779
19810,546875	-100,075356
19853,613281	-100,076294
19896,679688	-100,087250
19939,746094	-100,085732
19982,812500	-100,095413
20025,878906	-100,090965
20068,945312	-100,103455
20112,011719	-100,104462
20155,078125	-100,106895
20198,144531	-100,114342
20241,210938	-100,113930
20284,277344	-100,121086
20327,343750	-100,123184
20370,410156	-100,127274
20413,476562	-100,127647
20456,542969	-100,133621
20499,609375	-100,137665
20542,675781	-100,136292
20585,742188	-100,143211
20628,808594	-100,144241
20671,875000	-100,150124
20714,941406	-100,150345
20758,007812	-100,154526
20801,074219	-100,153618
20844,140625	-100,162140
20887,207031	-100,152779
20930,273438	-100,171783
20973,339844	-100,161537
21016,406250	-100,171486
21059,472656	-100,169174
21102,539062	-100,169167
21145,605469	-100,176140
21188,671875	-100,175713
21231,738281	-100,176811
21274,804688	-100,178894
21317,871094	-100,182251
21360,937500	-100,182381
21404,003906	-100,177658
21447,070312	-100,186447
21490,136719	-100,188026
21533,203125	-100,183418
21576,269531	-100,187553
21619,335938	-100,190941
21662,402344	-100,190613
21705,468750	-100,191132
21748,535156	-100,186607
21791,601562	-100,202370
21834,667969	-100,179405
21877,734375	-100,197212
21920,800781	-100,194122
21963,867188	-100,185829
22006,933594	-100,194183
