Fréquence (Hz)	Niveau (dB)
20109,375000	-89,789406
20156,250000	-89,684090
20203,125000	-89,883507
20250,000000	-89,713875
20296,875000	-89,763954
20343,750000	-89,610680
20390,625000	-89,782127
20437,500000	-89,923225
20484,375000	-89,922333
20531,250000	-89,907234
20578,125000	-89,686562
20625,000000	-89,955772
20671,875000	-90,000168
20718,750000	-90,033806
20765,625000	-89,836960
20812,500000	-89,769928
20859,375000	-90,126106
20906,250000	-90,150917
20953,125000	-90,138031
21000,000000	-89,888626
21046,875000	-89,980484
21093,750000	-90,133324
21140,625000	-90,098892
21187,500000	-90,197754
21234,375000	-90,010002
21281,250000	-90,187355
21328,125000	-90,265144
21375,000000	-90,216484
21421,875000	-90,176796
21468,750000	-90,204483
21515,625000	-90,331718
21562,500000	-90,289070
21609,375000	-90,303925
21656,250000	-90,360542
21703,125000	-90,344185
21750,000000	-90,358360
21796,875000	-90,352226
21843,750000	-90,357910
21890,625000	-90,424980
21937,500000	-90,459091
21984,375000	-90,368362
22031,250000	-90,399368
22078,125000	-90,430420
22125,000000	-90,399033
22171,875000	-90,445274
22218,750000	-90,483559
22265,625000	-90,467941
22312,500000	-90,299217
22359,375000	-90,527931
22406,250000	-90,591377
22453,125000	-90,622276
22500,000000	-90,442741
22546,875000	-90,420212
22593,750000	-90,643379
22640,625000	-90,590195
22687,500000	-90,605972
22734,375000	-90,440208
22781,250000	-90,596077
22828,125000	-90,713882
22875,000000	-90,702423
22921,875000	-90,706863
22968,750000	-90,578560
23015,625000	-90,754959
23062,500000	-90,765030
23109,375000	-90,749603
23156,250000	-90,725632
23203,125000	-90,789215
23250,000000	-90,755753
23296,875000	-90,786842
23343,750000	-90,820312
23390,625000	-90,801659
23437,500000	-90,878403
23484,375000	-90,791641
23531,250000	-90,771042
23578,125000	-90,872643
23625,000000	-90,811539
23671,875000	-90,899742
23718,750000	-90,766930
23765,625000	-90,827873
23812,500000	-90,886177
23859,375000	-90,861015
23906,250000	-90,857735
23953,125000	-90,746025
